sku,numero_serie,sucursal
ZF-70,1,TGZ
ZF-70,2,MID
ZF-70,3,VHS
ZCOLGANTE,4,TGZ
ZCOLGANTE,5,MID
TRANQUILO-TRON,6,TGZ
TRANQUILO-TRON,7,TGZ
TRANQUILO-TRON,8,TGZ
TRANQUILO-TRON,9,TGZ
TRANQUILO-TRON,10,MID
TRANQUILO-TRON,11,MID
TRANQUILO-TRON,12,MID
TRANQUILO-TRON,13,VHS
TRANQUILO-TRON,14,CUN
TRANQUILO,15,TGZ
TRANQUILO,16,TGZ
TRANQUILO,17,TGZ
TRANQUILO,18,TGZ
TRANQUILO,19,TGZ
TRANQUILO,20,TGZ
TRANQUILO,21,TGZ
TRANQUILO,22,TGZ
TRANQUILO,23,TGZ
TRANQUILO,24,TGZ
TRANQUILO,25,TGZ
TRANQUILO,26,MID
TRANQUILO,27,MID
TRANQUILO,28,VHS
TRANQUILO,29,VHS
TG-95,30,TGZ
TG-50 SS,31,TGZ
TG-50 SS,32,MID
SSVRC-75,33,TGZ
SSVRC-75,34,MID
SSVRC-75,35,MID
SSVRC-75,36,VHS
SSVRC-75,37,VHS
SSVRC-75,38,CUN
SSP48,39,TGZ
SSP48,40,MID
SSP36,41,MID
SSP24,42,TGZ
SSP24,43,MID
SSP12,44,TGZ
SSP12,45,MID
SSF3,46,TGZ
SSF2,47,TGZ
SSF2,48,MID
SSF1,49,TGZ
SSF1,50,MID
SSEM,51,MID
SSE6QG,52,MID
SSE6Q,53,TGZ
SSE6Q,54,MID
SSE4QP,55,TGZ
SSE4QP,56,MID
SSE4Q,57,TGZ
SSE4Q,58,MID
SSCF2,59,TGZ
SSCF2,60,MID
SSCF1,61,TGZ
SSCF1,62,MID
SSA36,63,TGZ
SSA36,64,MID
SSA24,65,TGZ
SSA24,66,MID
SSA12,67,TGZ
SSA12,68,MID
SS6Q,69,TGZ
SS6Q,70,MID
SS4Q,71,MID
SS-35,72,MID
SS2Q,73,TGZ
SS2Q,74,MID
SMC1000,75,TGZ
SMC1000,76,MID
SMC1000,77,MID
SMC1000,78,VHS
SMC1000,79,VHS
SMC1000,80,CUN
SK-280P,81,TGZ
SK-280P,82,MID
SK-280P,83,VHS
RTW-160L,84,TGZ
RTW-160L,85,TGZ
RTW-160L,86,MID
RTW-160L,87,MID
RTW-160L,88,VHS
RTW-160L,89,VHS
RTW-120L-4,90,TGZ
RTW-120L-4,91,MID
RTW-120L,92,VHS
RTW-120L,93,VHS
RTW100L3,94,TGZ
RTW100L3,95,TGZ
RTW100L3,96,MID
RTW100L3,97,MID
RTW100L3,98,VHS
RT-78L,99,MID
NSK120PT,100,TGZ
NSK120PT,101,MID
NSK120PT,102,VHS
NSK120PT,103,CUN
MARFILL,104,TGZ
MARFILL,105,TGZ
MARFILL,106,MID
MARFILL,107,MID
MARFILL,108,VHS
MARFILL,109,VHS
MARFILL,110,CUN
ITALBAR2C,111,TGZ
ITALBAR2C,112,MID
ITALBAR2C,113,VHS
ITALBAR2,114,TGZ
ITALBAR2,115,MID
ITALBAR1,116,TGZ
ITALBAR1,117,TGZ
ITALBAR1,118,TGZ
ITALBAR1,119,TGZ
ITALBAR1,120,TGZ
ITALBAR1,121,TGZ
ITALBAR1,122,TGZ
ITALBAR1,123,TGZ
ITALBAR1,124,TGZ
ITALBAR1,125,MID
ITALBAR1,126,MID
ITALBAR1,127,MID
ITALBAR1,128,MID
ITALBAR1,129,VHS
ITALBAR1,130,VHS
ITALBAR1,131,CUN
ICESMART,132,TGZ
ICESMART,133,TGZ
ICESMART,134,TGZ
ICESMART,135,TGZ
ICESMART,136,TGZ
ICESMART,137,TGZ
ICESMART,138,TGZ
ICESMART,139,TGZ
ICESMART,140,TGZ
ICESMART,141,TGZ
ICESMART,142,TGZ
ICESMART,143,TGZ
ICESMART,144,TGZ
ICESMART,145,TGZ
ICESMART,146,TGZ
ICESMART,147,MID
ICESMART,148,MID
ICESMART,149,MID
ICESMART,150,MID
ICESMART,151,MID
ICESMART,152,MID
ICESMART,153,MID
ICESMART,154,MID
ICESMART,155,VHS
ICESMART,156,VHS
ICESMART,157,VHS
ICESMART,158,VHS
ICESMART,159,VHS
EMPA-55,160,TGZ
EC1,161,TGZ
EC1,162,VHS
EC1,163,VHS
EC1,164,CUN
CP15,165,MID
BMINIFRY,166,VHS
BM48,167,TGZ
BM48,168,MID
BM48,169,VHS
BM36,170,TGZ
BM36,171,TGZ
BM36,172,MID
BM24,173,VHS
BM12,174,MID
BM12,175,VHS
BATI-20,176,TGZ
BATI-20,177,MID
BATI-10X,178,TGZ
BATI-10X,179,MID
BATI-10X,180,VHS
AMASA-20,181,TGZ
AMASA-20,182,MID
1010084,183,TGZ
1800,184,TGZ
1800,185,TGZ
1800,186,TGZ
1800,187,TGZ
1800,188,TGZ
1800,189,TGZ
1800,190,TGZ
1800,191,TGZ
1800,192,TGZ
1800,193,TGZ
1800,194,TGZ
1800,195,TGZ
1800,196,TGZ
1800,197,MID
1800,198,MID
1800,199,MID
1800,200,MID
1800,201,MID
1800,202,MID
1800,203,MID
1800,204,MID
1800,205,VHS
1800,206,VHS
1800,207,VHS
1800,208,VHS
1800,209,VHS
1800,210,VHS
