SKU,NOMBRE,TIPO,MARCA,LINEA,FAMILIA,PROVEEDOR,UNIDAD ENTRADA,NUM PIEZA,UNIDAD SALIDA,UNIDAD MEDIDA,CLAVE SAT,�APLICA IVA?,�EN DOLARES?,PRECIO COSTO,PRECIO VENTA,COSTO TOTAL,TOTAL PZAS,TUXTLA,MERIDA,VILLAHERMOSA,CANCUN,DIGITAL
ZF-70,FREIDOR DE INMERSION LINEA (Z-70),EQUIPO,COCINASPAAL,COCCION,EQUIPOS SAN SON,SAN SON,unidad,1,unidad,H87,48101509,si,no,24115,31000,72345,3,1,1,1,0,0
ZCOLGANTE,SALAMANDRA INFRARROJA,EQUIPO,COCINASPAAL,COCCION,EQUIPOS SAN SON,SAN SON,unidad,1,unidad,H87,48101535,si,no,12795,15625,25590,2,1,1,0,0,0
TUR1202,TUERCA DE FIJACI�N DE ASPAS,VARIOS,COCINASPAAL,REFACCIONES,REFACCIONES E COFFE,E COFFEE,unidad,1,unidad,H87,48101505,no,no,250,350,0,0,0,0,0,0,0
TRANQUILO-TRON,MOLINO PROF. PROGRAMABLE,EQUIPO,COFFEE DEPOT,EQUIPOS,EQUIPOS COFFEE DEPOT,COFFEE DEPOT,unidad,1,unidad,H87,48101604,si,no,8395.0617,11500,75555.56,9,4,3,1,1,0
TRANQUILO,MOLINO PROFESIONAL P/CAFE,EQUIPO,COFFEE DEPOT,EQUIPOS,EQUIPOS COFFEE DEPOT,COFFEE DEPOT,unidad,1,unidad,H87,48101604,si,no,6740.7184,9500,101110.78,15,11,2,2,0,0
TM-184,ESPREAS P/QUEMADOR F-70,VARIOS,COCINASPAAL,REFACCIONES,REFACCIONES SAN SON,SAN SON,unidad,1,unidad,H87,27112800,si,no,141.575,198.205,424.72,3,3,0,0,0,0
TG-95,TRAMPA DE GRASA GRANDE,EQUIPO,COCINASPAAL,COCCION,EQUIPOS SAN SON,SAN SON,unidad,1,unidad,H87,48101500,si,no,9000,8450,9000,1,1,0,0,0,0
TG-50 SS,TRAMPA DE GRASA,EQUIPO,COCINASPAAL,COCCION,EQUIPOS SAN SON,SAN SON,unidad,1,unidad,H87,48101500,si,no,6500,11700,13000,2,1,1,0,0,0
TAMPW,TAMPER PROF. 58 mm MANGO DE,VARIOS,COFFEE DEPOT,ACCESORIOS,ACCESORIOS COFFEE DEPOT,COFFEE DEPOT,unidad,1,unidad,H87,48101800,si,no,287.5609,371.5517241,1150.24,4,0,4,0,0,0
TAMPR,TAMPER PROF. 58 mm ALUMINIO ROJO,VARIOS,COFFEE DEPOT,ACCESORIOS,ACCESORIOS COFFEE DEPOT,COFFEE DEPOT,unidad,1,unidad,H87,48101800,si,no,241,306.0344828,1446,6,0,2,4,0,0
TAMP-PREM,TAMPER PREMIUM 58.5MM P/ CAF�,VARIOS,COCINASPAAL,ACCESORIOS,ACCESORIOS E COFFEE,E COFFEE,unidad,1,unidad,H87,48101505,si,no,517.246,775.869,4655.21,9,7,2,0,0,0
TAMPBP,TAMPER PROF. 58 mm SISTEMA PUSH,VARIOS,COFFEE DEPOT,ACCESORIOS,ACCESORIOS COFFEE DEPOT,COFFEE DEPOT,unidad,1,unidad,H87,48101800,si,no,303,385.3448276,1818,6,0,3,3,0,0
TAMPB,TAMPER PROF. 58 mm ALUMINIO,VARIOS,COFFEE DEPOT,ACCESORIOS,ACCESORIOS COFFEE DEPOT,COFFEE DEPOT,unidad,1,unidad,H87,48101800,si,no,241,306.0344828,2169,9,0,5,4,0,0
TAMPAP,TAMPER PROF. 58 mm ALUMINIO,VARIOS,COFFEE DEPOT,ACCESORIOS,ACCESORIOS COFFEE DEPOT,COFFEE DEPOT,unidad,1,unidad,H87,48101800,si,no,241,306.0344828,5543,23,9,6,8,0,0
TAMP-ANT,TAMPER DE 58MM CON SISTEMA DE,VARIOS,COCINASPAAL,ACCESORIOS,ACCESORIOS E COFFEE,E COFFEE,unidad,1,unidad,H87,48101505,si,no,241.3793,362.06895,724.14,3,3,0,0,0,0
TAMP,TAMPER DE CAFE ACERO INOXIDABLE,VARIOS,COCINASPAAL,ACCESORIOS,ACCESORIOS E COFFEE,E COFFEE,unidad,1,unidad,H87,48101505,si,no,250,375,500,2,2,0,0,0,0
TAM-HMK,TAMPER DE 51MM DELONGHI OSTER,VARIOS,COCINASPAAL,ACCESORIOS,ACCESORIOS E COFFEE,E COFFEE,unidad,1,unidad,H87,48101505,si,no,200,300,600,3,1,1,1,0,0
SWITCH,SWITCH P/LICUADORA ICESMART,VARIOS,COCINASPAAL,REFACCIONES,REFACCIONES SAN SON,SAN SON,unidad,1,unidad,H87,40141700,si,no,50.5132,70.71848,555.65,11,3,5,3,0,0
ST-83,BUJIA DE CHISPAS P/HORNO HCU,VARIOS,COCINASPAAL,REFACCIONES,REFACCIONES SAN SON,SAN SON,unidad,1,unidad,H87,56111905,si,no,273,382.2,1092,4,2,2,0,0,0
