CLAVE,MARCA ,LINEA ,PROVEEDOR,TIPO,PRODUCTO,ULTIMA  COMPRA, ULTIMO COSTO , COSTO PROMEDIO ,PZAS, COSTO TOTAL ,IVA, PRECIO  , PRECIO MAYOREO ,PZAS MAYOREO,DCTO
10071117,COFFEE DEPOT,REFACCIONES COFFEE,COFFEE DEPOT,VARIOS,MANERAL P/1 TAZA P/CAFETERA,," $1,547.00 "," $1,547.00 ",1," $1,547.00 ",16%," $2,578 "," $2,578.33 ",0,0%
10071129R,COFFEE DEPOT,REFACCIONES COFFEE,COFFEE DEPOT,VARIOS,MANERAL 2 GRUPOS PROMAC,," $1,547.00 "," $1,547.00 ",1," $1,547.00 ",16%," $2,578 "," $2,578.33 ",0,0%
11267,COFFEE DEPOT,REFACCIONES COFFEE,COFFEE DEPOT,VARIOS,MANOMETRO 0-16 BAR L'ANNA,, $347.20 , $347.20 ,1, $347.20 ,16%, $579 , $578.67 ,0,0%
11374,COFFEE DEPOT,REFACCIONES COFFEE,COFFEE DEPOT,VARIOS,EMPAQUE TRIANGULO BA-202 RESIS,, $43.10 , $43.10 ,2, $86.20 ,16%, $72 , $71.83 ,0,0%
1800,COFFEE DEPOT,EQUIPOS COFFEE,COFFEE DEPOT,EQUIPO,CAJA ANTIRUIDO PARA LICUADORA ICESMART,13/12/2024," $2,200.00 "," $2,044.89 ",24," $49,077.30 ",16%," $4,142.86 "," $4,142.86 ",0,28%
20115,COFFEE DEPOT,ACCESORIOS COFFEE,COFFEE DEPOT,VARIOS,FILTRO REGULAR 1M 500/2 50CL,20/12/2023, $334.59 , $339.83 ,3," $1,019.50 ",16%, $520.00 , $520.00 ,0,0%
20138,COFFEE DEPOT,ACCESORIOS COFFEE,COFFEE DEPOT,VARIOS,FILTRO GOURMET 500 250/2 25/CL,13/12/2024, $525.00 , $489.03 ,25," $12,225.67 ",16%, $475.00 , $475.00 ,0,0%
30034,COFFEE DEPOT,ACCESORIOS COFFEE,COFFEE DEPOT,VARIOS,CAJA CON 10 CAPSULAS DE GAS,13/12/2024, $110.00 , $110.70 ,199," $22,029.29 ",16%, $147.00 , $147.00 ,0,0%
34030078,COFFEE DEPOT,REFACCIONES COFFEE,COFFEE DEPOT,VARIOS,SWITCH BLACK/GREEN 84198180,30/Ago/202, $68.97 , $68.96 ,9, $620.68 ,16%, $115 , $114.94 ,0,0%
34030116,COFFEE DEPOT,REFACCIONES COFFEE,COFFEE DEPOT,VARIOS,LAMPARA DE NEON PROMAC,, $91.00 , $91.00 ,1, $91.00 ,16%, $152 , $151.67 ,0,0%
34040137,COFFEE DEPOT,REFACCIONES COFFEE,COFFEE DEPOT,VARIOS,ELECTROVALVULA 3/2 WAYS 110-,20/03/2024," $1,732.50 "," $1,428.32 ",0, $-   ,16%," $2,888 "," $2,887.50 ",0,0%
36301046,COFFEE DEPOT,REFACCIONES COFFEE,COFFEE DEPOT,VARIOS,EMPAQUE PROMAC DE GRUPO,03/01/2025, $112.04 , $112.04 ,33," $3,697.29 ",16%, $187 , $186.73 ,0,0%
38123057,COFFEE DEPOT,REFACCIONES COFFEE,COFFEE DEPOT,VARIOS,FILTRO CIEGO DE NEOPRENO,30/Ago/202, $17.24 , $17.24 ,10, $172.41 ,16%, $29 , $28.74 ,0,0%
40100001,COFFEE DEPOT,REFACCIONES COFFEE,COFFEE DEPOT,VARIOS,FILTRO SENCILLO 1 TAZA,, $123.90 , $123.90 ,22," $2,725.80 ",16%, $207 , $206.50 ,0,0%
40100011,COFFEE DEPOT,REFACCIONES COFFEE,COFFEE DEPOT,VARIOS,FILTRO CIEGO ACERO PROMAC,30/Ago/202, $86.21 , $86.21 ,14," $1,206.90 ",16%, $144 , $143.68 ,0,0%
40100107,COFFEE DEPOT,REFACCIONES COFFEE,COFFEE DEPOT,VARIOS,FILTRO DOBLE 2 TAZAS P/CAFETERA,02/09/2022, $123.90 , $123.90 ,0, $-   ,16%, $207 , $206.50 ,0,0%
5126,COFFEE DEPOT,ACCESORIOS COFFEE,COFFEE DEPOT,VARIOS,VASO MEDIDOR SHOT-GLASS,13/12/2024, $56.00 , $56.00 ,32," $1,792.00 ",16%, $85.00 , $77.00 ,7,0%
52151505,COFFEE DEPOT,DESECHABLES COFFEE,COFFEE DEPOT,VARIOS,AGITADOR DE 19 cm DE MADERA,13/12/2024, $117.00 , $116.95 ,91," $10,642.76 ",16%, $180.00 , $172.00 ,7,0%
5341009001,COFFEE DEPOT,INSUMOS COFFEE,COFFEE DEPOT,VARIOS,JARABE ESSENCE AMARETO 1 L,08/01/2025, $114.00 , $113.99 ,36," $4,103.69 ",16%, $172.00 , $162.00 ,7,0%
