codigo,nombre,tipo,unidad_entrada,requiere_numero_serie,marca,proveedor,unidad_medida_sat,clave_sat,descripcion,precio_costo,precio_venta1,precio_venta2,precio_venta3,aplica_iva,aplica_ieps,ieps_porcentaje,en_dolares,stock_tuxtla,numeros_serie_tuxtla,stock_merida,numeros_serie_merida,stock_villahermosa,numeros_serie_villahermosa,stock_cancun,numeros_serie_cancun,stock_digital,numeros_serie_digital
EQUIPO-001,Camara de seguridad,equipo,unidad,si,SAMSUNG,PROVEEDOR A,H87,84111506,Camara con numero de serie,850,1250,,,si,no,8,no,2,"SN-EQUIPO-001,SN-EQUIPO-002",1,SN-EQUIPO-003,0,,0,,0,
EQUIPO-002,Laptop empresarial,equipo,caja,si,DELL,PROVEEDOR B,H87,84111506,Laptop con numero de serie,12000,16500,17000,,si,si,8,no,1,LT-2026-001,0,,0,,0,,0,
VAR-001,Kit de herramientas,varios,caja,no,TRUPER,PROVEEDOR A,H87,84111506,Kit con tres precios de venta,300,450,480,500,si,no,8,no,5,,2,,1,,0,,0,
VAR-002,Aceite multigrado 5W30,varios,unidad,no,MOBIL,PROVEEDOR B,LTR,84111506,Aceite con ambos impuestos,180,260,,,si,si,8,no,10,,5,,3,,2,,1,
VAR-003,Filtro de aire,varios,unidad,no,,,KGM,,Sin impuestos y sin marca,90,150,,,no,no,8,no,20,,10,,0,,5,,0,
VAR-004,Bateria industrial,varios,unidad,no,,,H87,,IEPS al 20 por ciento,2000,2800,,,si,si,20,no,4,,1,,0,,0,,0,
VAR-005,Refaccion importada,varios,unidad,no,ACEL,PROVEEDOR C,H87,,Precios en dolares,500,750,800,,si,no,8,si,2,,0,,0,,1,,0,
VAR-006,Consumible de oficina,varios,unidad,no,OFFICE,,H87,,Solo IEPS,25,45,,,no,si,8,no,100,,0,,0,,0,,50,
EQUIPO-003,Servidor de red,equipo,unidad,si,HP,PROVEEDOR B,H87,84111506,Servidor con dos numeros de serie,25000,32000,33000,34000,si,si,8,no,1,SRV-01,0,,0,,1,SRV-02,0,
VAR-007,Llanta 205/55R16,varios,unidad,no,MICHELIN,PROVEEDOR A,H87,84111506,Llanta con precio 1 y 2,1400,1900,2000,,si,no,8,no,8,,4,,2,,1,,0,
